Subject,Filename,Inducement Code,Onset Frame,Apex Frame,Offset Frame,Duration,Micro,Action Units,Estimated Emotion,Notes,Real_Label
6,006_1_2,1,5562,5588,5632,71,Micro - 1/2,4+7,,,1
6,006_1_3,1,3912,3948,3988,77,Micro - 1/2,4,,While blinking,1
6,006_1_4,1,2324,2368,2403,80,Micro - 1/2,4+7,,,1
6,006_1_5,1,5343,5388,5424,82,Micro - 1/2,4+7,,,1
6,006_1_6,1,7160,7197,7259,100,Micro - 1/2,4+7+43,,Double AU4,1
6,006_2_4,2,180,217,274,95,Micro - 1/2,4+7,,,1
6,006_3_4,3,639,668,702,64,Micro - 1/2,15A+17,,,1
6,006_3_5,3,1787,1829,1856,70,Micro - 1/2,25+26,,,2
6,006_5_10,5,1436,1465,1514,79,Micro - 1/2,L20+21,,look to the neck,1
6,006_5_11,5,2130,2190,2226,97,Micro - 1/2,4,,while blinking,1
6,006_5_9,5,5258,5282,5351,94,Micro - 1/2,5,,,2
7,007_3_1,3,2046,2062,2091,46,Micro - 1/2,20,,,1
7,007_5_3,5,2759,2797,2835,77,Micro - 1/2,26,,,2
7,007_5_4,5,5433,5475,5532,100,Micro - 1/2,R2,,,2
7,007_6_1,6,497,511,541,45,Micro - 1/2,(R6 or R12)+R15,,,1
7,007_6_2,6,1296,1326,1377,82,Micro - 1/2,12,,,0
7,007_6_3,6,2560,2592,2617,58,Micro - 1/2,R6A+R12,,,0
7,007_6_5,6,649,673,723,75,Micro - 1/2,(R6 or R12) + R15,,,1
7,007_7_1,7,7030,7056,7070,41,Micro - 1/2,5B+24,Surprise,,2
7,007_7_5,7,554,585,637,84,Micro - 1/2,12A,,,0
9,009_3_2,3,1856,1891,1932,77,Micro - 1/2,7B,,,1
9,009_3_3,3,1968,2010,2045,78,Micro - 1/2,7B,,,1
9,009_3_4,3,3334,3370,3419,86,Micro - 1/2,5A,,,2
10,010_2_1,2,192,206,228,37,Micro - 1/2,ref(7B)+43,,,1
10,010_2_8,2,1211,1239,1288,78,Micro - 1/2,7D,,,1
10,010_4_1,4,3528,3548,3557,30,Micro - 1/2,ref(7B)+43C,,,1
10,010_4_2,4,6708,6730,6738,31,Micro - 1/2,7B+ ref(43),,,1
11,011_1_4,1,3080,3131,3168,89,Micro - 1/2,7C,,,1
11,011_2_1,2,2029,2050,2068,40,Micro - 1/2,A9+12,,Smiles during AU9,1
11,011_2_2,2,2069,2114,2125,57,Micro - 1/2,9,,,1
11,011_2_3,2,3885,3921,3974,90,Micro - 1/2,4D+9B,,,1
11,011_2_7,2,3361,3402,3449,89,Micro - 1/2,7+12,,,1
11,011_3_1,3,2363,2395,2411,49,Micro - 1/2,L7A,,,1
11,011_3_4,3,2841,2891,2920,80,Micro - 1/2,L12 + 61,,,0
11,011_3_5,3,2944,3007,3031,88,Micro - 1/2,A12+A7,,Eye movement,1
11,011_3_6,3,3208,3253,3308,101,Micro - 1/2,A12,,,0
11,011_4_1,4,6750,6771,6803,54,Micro - 1/2,A7,,,1
11,011_4_12,4,4158,4194,4254,97,Micro - 1/2,7C,,Eye movement,1
11,011_4_13,4,2755,2791,2853,99,Micro - 1/2,7,,Eye movement,1
11,011_6_13,6,4523,4585,4619,97,Micro - 1/2,ref(L10)+A12B,,,0
11,011_6_5,6,2504,2571,2602,99,Micro - 1/2,L12C,,,0
11,011_6_6,6,2607,2649,2680,74,Micro - 1/2,12C,,,0
12,012_3_1,3,4621,4651,4676,56,Micro - 1/2,7+20+26,,,1
12,012_3_2,3,4697,4735,4796,100,Micro - 1/2,ref(5)+20C+25+26,,Large head movement,1
12,012_7_1,7,7871,7889,7923,53,Micro - 1/2,5,,Eye movement,2
13,013_1_10,1,3802,3824,3890,89,Micro - 1/2,7,,,1
13,013_1_11,1,4490,4544,4582,93,Micro - 1/2,7A,,,1
13,013_1_12,1,706,739,802,97,Micro - 1/2,7B,,,1
13,013_1_8,1,841,867,919,79,Micro - 1/2,7A,,,1
13,013_1_9,1,5658,5680,5739,82,Micro - 1/2,7,,,1
13,013_7_7,7,2077,2135,2167,91,Micro - 1/2,7B,,Eye movement,1
14,014_1_1,1,2856,2881,2897,42,Micro - 1/2,20,,,1
14,014_2_3,2,4616,4645,4705,90,Micro - 1/2,5C,,Eye movement,2
14,014_2_4,2,3874,3925,3968,95,Micro - 1/2,12B,,Blinks,0
14,014_3_3,3,2635,2646,2714,80,Micro - 1/2,12A+ref(24),,Blinks,0
14,014_3_4,3,1426,1457,1523,98,Micro - 1/2,12+24,,Blinks and head movement,0
14,014_6_1,6,1316,1334,1350,35,Micro - 1/2,L12A,,Eye movement,0
14,014_6_2,6,1190,1221,1253,64,Micro - 1/2,12A,,Half blink,0
14,014_6_3,6,128,171,196,69,Micro - 1/2,A/L12,,,0
14,014_7_1,7,3529,3560,3598,70,Micro - 1/2,L12A,,,0
15,015_5_1,5,6380,6406,6442,63,Micro - 1/2,A1,,Slight eye movement,2
15,015_5_3,5,6050,6073,6127,78,Micro - 1/2,1+2,,Slight eye movement,2
16,016_7_1,7,2275,2299,2323,49,Micro - 1/2,7D+ref(43),,Blinks,1
16,016_7_2,7,3840,3854,3892,53,Micro - 1/2,1+2,,Blinks,2
16,016_7_3,7,4395,4421,4447,53,Micro - 1/2,4,,Eye movement,1
16,016_7_5,7,6120,6155,6207,88,Micro - 1/2,5C,,Eye movements,2
16,016_7_8,7,12256,12324,12349,94,Micro - 1/2,12,,Slight head movement,0
17,017_3_3,3,1393,1489,1492,100,Micro - 1/2,R2,,,2
17,017_6_1,6,1107,1143,1178,72,Micro - 1/2,7,,Eye movement,1
17,017_6_2,6,916,960,1008,93,Micro - 1/2,R2A,,,2
18,018_1_4,1,10521,10570,10607,87,Micro - 1/2,R2B,,,2
18,018_3_1,3,1405,1456,1500,96,Micro - 1/2,A9E+ref(10),,,1
18,018_7_1,7,10133,10156,10175,43,Micro - 1/2,5,,Slight eye movement,2
19,019_3_2,3,872,908,971,100,Micro - 1/2,L2A,,,2
19,019_4_1,4,4496,4517,4550,55,Micro - 1/2,12B,,,0
19,019_5_1,5,5227,5268,5308,82,Micro - 1/2,L2,,Blinks,2
20,020_1_1,1,2804,2823,2837,34,Micro - 1/2,L2,,,2
20,020_1_2,1,2728,2746,2783,56,Micro - 1/2,L2,,,2
20,020_4_2,4,1482,1516,1528,47,Micro - 1/2,L12A+25,,,0
20,020_7_1,7,8518,8551,8577,60,Micro - 1/2,A7,,Mainly on left side,1
20,020_7_10,7,9071,9140,9165,95,Micro - 1/2,L2C+12,,,0
20,020_7_2,7,147,181,238,92,Micro - 1/2,L2,,Slight eye movement,2
21,021_7_1,7,5589,5621,5646,58,Micro - 1/2,L4,,Eye movement,1
21,021_7_2,7,2853,2882,2942,90,Micro - 1/2,4,,,1
22,022_2_3,2,402,438,501,100,Micro - 1/2,7,,,1
22,022_3_2,3,380,421,428,49,Micro - 1/2,7A,,Eye movement,1
22,022_3_3,3,3659,3683,3697,39,Micro - 1/2,7C+A12B,,Eye movement,1
22,022_4_1,4,492,505,569,78,Micro - 1/2,7,,,1
22,022_5_1,5,335,357,405,71,Micro - 1/2,A12,,Eye movement,0
26,026_1_1,1,295,323,370,76,Micro - 1/2,4+6+7+9+43E,,Blinks hard,1
26,026_1_2,1,117,146,203,87,Micro - 1/2,L2,,Blinks,2
26,026_2_1,2,2881,2918,2947,67,Micro - 1/2,7D,,,1
26,026_2_2,2,2952,2978,3028,77,Micro - 1/2,4D+ref(6)+7C+43E,,Blinks hard,1
26,026_2_3,2,2607,2642,2685,79,Micro - 1/2,4B+7B+43E,,Blinks hard,1
26,026_2_4,2,4015,4038,4098,84,Micro - 1/2,2C,,Blinks,2
26,026_3_3,3,1704,1736,1737,34,Micro - 1/2,7B,,,1
26,026_3_4,3,3582,3608,3640,59,Micro - 1/2,7B,,Slight head movement,1
26,026_7_1,7,2848,2871,2947,100,Micro - 1/2,L2,,Blinks,2
26,026_7_2,7,5579,5603,5654,76,Micro - 1/2,L2,,Blinks,2
28,028_4_3,4,370,424,441,72,Micro - 1/2,5B,,,2
28,028_4_4,4,1288,1367,1376,89,Micro - 1/2,5A,,,2
30,030_1_1,1,2379,2422,2460,82,Micro - 1/2,4A/B,,,1
30,030_1_2,1,6344,6392,6434,91,Micro - 1/2,4,,Blinks,1
30,030_5_1,5,1921,1960,2001,81,Micro - 1/2,4A,,Eye movement,1
31,031_3_1,3,3831,3852,3886,56,Micro - 1/2,7B,,,1
32,032_3_1,3,4896,1930,4970,75,Micro - 1/2,4A,,,1
32,032_3_2,3,5126,5127,5207,82,Micro - 1/2,4A,,,1
32,032_4_2,4,408,436,479,72,Micro - 1/2,7,,,1
32,032_6_1,6,4307,4325,4366,60,Micro - 1/2,A1,,,2
33,033_1_3,1,5957,5988,6009,53,Micro - 1/2,12+39,,,0
33,033_1_4,1,6541,6573,6609,69,Micro - 1/2,12+15 ,,Blinks,1
33,033_1_5,1,6889,6926,6973,85,Micro - 1/2,7,,,1
33,033_2_1,2,695,749,776,82,Micro - 1/2,4A,,,1
33,033_2_2,2,2117,2149,2215,99,Micro - 1/2,7,,,1
34,034_3_1,3,3129,3159,3217,89,Micro - 1/2,7B,,,1
34,034_7_2,7,1578,1612,1655,78,Micro - 1/2,7B,,Eye movement and tilted head,1
34,034_7_3,7,3636,3672,3719,84,Micro - 1/2,7B+56,,Eye movement and tilted head,1
35,035_1_1,1,9649,9667,9691,43,Micro - 1/2,4,,,1
35,035_4_1,4,231,245,263,33,Micro - 1/2,7,,,1
35,035_4_2,4,1509,1534,1574,66,Micro - 1/2,4,,,1
35,035_5_3,5,253,293,341,89,Micro - 1/2,R20,,,1
35,035_6_3,6,180,210,236,57,Micro - 1/2,R20B,,,1
35,035_7_1,7,7809,7819,7853,45,Micro - 1/2,A1B+A2C,,,2
36,036_7_3,7,2264,2339,2363,100,Micro - 1/2,R10A+25+26,,Stays with 25+26 and eye movement,2
37,037_3_2,3,3196,3214,3295,100,Micro - 1/2,T23,,,1
